* Block Type = Fast 96-Well Block (0.1mL)
* Calibration Background is expired  = Yes
* Calibration Background performed on = 03-02-2017
* Calibration Normalization FAM-ROX is expired = Yes
* Calibration Normalization FAM-ROX performed on = 03-02-2017
* Calibration Normalization VIC-ROX is expired = Yes
* Calibration Normalization VIC-ROX performed on = 03-02-2017
* Calibration Pure Dye FAM is expired = Yes
* Calibration Pure Dye FAM performed on = 03-02-2017
* Calibration Pure Dye NED is expired = Yes
* Calibration Pure Dye NED performed on = 03-02-2017
* Calibration Pure Dye ROX is expired = Yes
* Calibration Pure Dye ROX performed on = 03-02-2017
* Calibration Pure Dye SYBR is expired = Yes
* Calibration Pure Dye SYBR performed on = 03-02-2017
* Calibration Pure Dye TAMRA is expired = Yes
* Calibration Pure Dye TAMRA performed on = 03-02-2017
* Calibration Pure Dye VIC is expired = Yes
* Calibration Pure Dye VIC performed on = 03-02-2017
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 03-02-2017
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 03-02-2017
* Chemistry = SYBR_GREEN
* Date Created = 2018-01-29 10:44:17 AM CST
* Date Modified = 2018-01-29 14:21:43 PM CST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = D:\PB\2018-01-29 104417.eds
* Experiment Name = 2018-01-29 104417
* Experiment Run Start Time = 2018-01-29 21:41:21 PM CST
* Experiment Run Stop Time = 2018-01-29 22:50:03 PM CST
* Experiment Type = Standard Curve
* Instrument Name = 278860552
* Instrument Serial Number = 278860552
* Instrument Type = QuantStudio(TM) 6 Flex System
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2
* User Name = NA

[Sample Setup]
Well	Well Position	Sample Name	Sample Color	Biogroup Name	Biogroup Color	Target Name	Target Color	Task	Reporter	Quencher	Quantity	Comments
1	A1	2ng gDNA	"RGB(176,23,31)"			P14	"RGB(176,23,31)"	UNKNOWN	SYBR	None		
2	A2	2ng gDNA	"RGB(176,23,31)"			P14	"RGB(176,23,31)"	UNKNOWN	SYBR	None		
3	A3	2ng gDNA	"RGB(176,23,31)"			Q15	"RGB(0,0,255)"	UNKNOWN	SYBR	None		
4	A4	2ng gDNA	"RGB(176,23,31)"			Q15	"RGB(0,0,255)"	UNKNOWN	SYBR	None		
5	A5	2ng gDNA	"RGB(176,23,31)"			Q18	"RGB(0,139,69)"	UNKNOWN	SYBR	None		
6	A6	2ng gDNA	"RGB(176,23,31)"			Q18	"RGB(0,139,69)"	UNKNOWN	SYBR	None		
7	A7	2ng gDNA	"RGB(176,23,31)"			P19	"RGB(238,238,0)"	UNKNOWN	SYBR	None		
8	A8	2ng gDNA	"RGB(176,23,31)"			P19	"RGB(238,238,0)"	UNKNOWN	SYBR	None		
9	A9	2ng gDNA	"RGB(176,23,31)"			QX200	"RGB(139,137,112)"	UNKNOWN	SYBR	None		
10	A10	2ng gDNA	"RGB(176,23,31)"			QX200	"RGB(139,137,112)"	UNKNOWN	SYBR	None		
11	A11	2ng gDNA	"RGB(176,23,31)"			SRY84	"RGB(238,121,66)"	UNKNOWN	SYBR	None		
12	A12	2ng gDNA	"RGB(176,23,31)"			SRY84	"RGB(238,121,66)"	UNKNOWN	SYBR	None		
13	B1	PB2018012303POOL1	"RGB(0,0,255)"			P14	"RGB(176,23,31)"	UNKNOWN	SYBR	None		
14	B2	PB2018012303POOL1	"RGB(0,0,255)"			P14	"RGB(176,23,31)"	UNKNOWN	SYBR	None		
15	B3	PB2018012303POOL1	"RGB(0,0,255)"			Q15	"RGB(0,0,255)"	UNKNOWN	SYBR	None		
16	B4	PB2018012303POOL1	"RGB(0,0,255)"			Q15	"RGB(0,0,255)"	UNKNOWN	SYBR	None		
17	B5	PB2018012303POOL1	"RGB(0,0,255)"			Q18	"RGB(0,139,69)"	UNKNOWN	SYBR	None		
18	B6	PB2018012303POOL1	"RGB(0,0,255)"			Q18	"RGB(0,139,69)"	UNKNOWN	SYBR	None		
19	B7	PB2018012303POOL1	"RGB(0,0,255)"			P19	"RGB(238,238,0)"	UNKNOWN	SYBR	None		
